"","author","word","n","tf","idf","tf_idf"
"1","EAP","à",9,0.000123551699522267,1.09861228866811,0.000135735415380992
"2","EAP","a.m",3,4.11838998407556e-05,0.405465108108164,1.66986344012478e-05
"3","EAP","aaem",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"4","EAP","ab",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"5","EAP","aback",2,2.74559332271704e-05,1.09861228866811,3.01634256402205e-05
"6","EAP","abandon",7,9.60957662950964e-05,0,0
"7","EAP","abandoned",11,0.000151007632749437,0,0
"8","EAP","abandoning",2,2.74559332271704e-05,0.405465108108164,1.11324229341652e-05
"9","EAP","abandonment",2,2.74559332271704e-05,0.405465108108164,1.11324229341652e-05
"10","EAP","abased",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"11","EAP","abasement",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"12","EAP","abashed",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"13","EAP","abated",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"14","EAP","abating",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"15","EAP","abbé",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"16","EAP","abbey",2,2.74559332271704e-05,0.405465108108164,1.11324229341652e-05
"17","EAP","abbeys",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"18","EAP","abbreviation",2,2.74559332271704e-05,1.09861228866811,3.01634256402205e-05
"19","EAP","abdication",1,1.37279666135852e-05,0.405465108108164,5.56621146708259e-06
"20","EAP","abernethy",4,5.49118664543408e-05,1.09861228866811,6.03268512804409e-05
"21","EAP","aberration",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"22","EAP","abeyance",3,4.11838998407556e-05,1.09861228866811,4.52451384603307e-05
"23","EAP","abhor",1,1.37279666135852e-05,0.405465108108164,5.56621146708259e-06
"24","EAP","abhorrence",2,2.74559332271704e-05,0,0
"25","EAP","abide",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"26","EAP","abilities",4,5.49118664543408e-05,0.405465108108164,2.22648458683304e-05
"27","EAP","ability",11,0.000151007632749437,0,0
"28","EAP","abject",2,2.74559332271704e-05,0.405465108108164,1.11324229341652e-05
"29","EAP","abnormal",4,5.49118664543408e-05,0.405465108108164,2.22648458683304e-05
"30","EAP","abnormally",2,2.74559332271704e-05,0.405465108108164,1.11324229341652e-05
"31","EAP","abolished",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"32","EAP","abominable",2,2.74559332271704e-05,0.405465108108164,1.11324229341652e-05
"33","EAP","aboriginal",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"34","EAP","abortions",2,2.74559332271704e-05,1.09861228866811,3.01634256402205e-05
"35","EAP","abortive",1,1.37279666135852e-05,0.405465108108164,5.56621146708259e-06
"36","EAP","abounded",1,1.37279666135852e-05,1.09861228866811,1.50817128201102e-05
"37","EAP","abounds",2,2.74559332271704e-05,1.09861228866811,3.01634256402205e-05
